ticker,period,crosspoints,interval,small_ema,large_ema,total_trades,pnl,initial_balance,trade_size,stoploss,target,profitable_trades,losing_trades,win_percentage,lose_percentage,date_range

EURUSD,20Y,59246,5m,8,38,59239,-4115.040000000257,5000000,1000,0.0009,0.009,6777,52462,11.440098583703303,88.5599014162967,2002-10-21 07:15:00 - 2023-04-12 18:45:00
EURUSD,20Y,59246,5m,8,38,59023,160847.73000000094,5000000,1000,0.009,0.09,7310,51713,12.385002456669433,87.61499754333056,2002-10-21 19:30:00 - 2023-04-12 13:10:00
EURUSD,20Y,59246,5m,8,38,59238,-4148.009999999837,5000000,1000,0.001,0.01,6695,52543,11.301867044802323,88.69813295519768,2002-10-21 07:15:00 - 2023-04-12 19:40:00
EURUSD,20Y,59246,5m,8,38,59241,-4180.570000000305,5000000,1000,0.0008,0.008,6858,52383,11.576441991188535,88.42355800881147,2002-10-21 07:15:00 - 2023-04-12 18:45:00
EURUSD,20Y,59246,5m,8,38,59061,123975.58000000298,5000000,1000,0.008,0.08,7148,51913,12.102741233639797,87.89725876636021,2002-10-21 07:15:00 - 2023-04-12 13:10:00
EURUSD,20Y,59246,5m,8,38,59023,16084773.000000002,90000000,100000,0.009,0.09,7310,51713,12.385002456669433,87.61499754333056,2002-10-21 19:30:00 - 2023-04-12 13:10:00
EURUDD,20Y,48358,5m,8,55,48175,12846761.000000002,90000000,100000,0.009,0.09,5937,42238,12.32381940840685,87.67618059159315,2002-10-21 19:25:00 - 2023-04-12 13:10:00
